x,y,score
396,393,0.14809841032947976
392,398,0.12467084241200059
394,387,0.1099018596069279
400,398,0.08937764440624228
387,394,0.0890271595139265
401,388,0.07540785707987298
396,403,0.07520996376720207
387,387,0.05608448837881322
390,405,0.05406460800317888
396,381,0.04300912357096646
379,393,0.032746178202460674
405,393,0.02952849729756949
389,381,0.028938811053661858
385,400,0.026851638475754502
382,383,0.019843142137940424
403,382,0.014148987878127099
401,407,0.012537279536135626
394,375,0.010663351547773111
395,410,0.010313566163199806
387,375,0.010147076645345329
