x,y,score
388,394,0.09151556931099869
394,397,0.079765980410345
393,389,0.0731063198002558
399,392,0.0640602557778077
381,395,0.06026541354413249
388,401,0.0560795979762014
385,388,0.05293963837166209
396,383,0.04181517048263848
400,400,0.04091009143603387
394,404,0.03783845581009181
375,398,0.0363035018514321
402,386,0.03564034846386867
381,402,0.031213264637365415
376,390,0.027281484420325623
365,393,0.02661117995592122
389,382,0.024528319260063127
368,399,0.023166176381568652
388,408,0.021057497562305433
395,376,0.02095821504396913
370,387,0.01972479109914061
