x,y,score
388,394,0.07834471844095661
397,393,0.07164328788669896
393,399,0.06791174145390352
379,395,0.05760520502836746
396,386,0.05506156750070124
385,400,0.05124788005516313
388,387,0.04946050715867963
400,399,0.04774572719660757
390,405,0.037684707282340496
373,398,0.032840544622800956
381,388,0.031699546477243254
403,387,0.031350118654905064
399,379,0.029821162149589096
379,403,0.02781785819394119
366,397,0.02550316896554212
391,378,0.02393539689679153
368,389,0.02117906629851442
397,405,0.020227780903425877
385,381,0.019887730513186954
405,394,0.016285249425838373
