x,y,model,amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,AIC(1G),AIC(2G),amp,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
398,366,1g,,,,,,,,,,,62.36094076073815,58.81346911102208,7.117659441354021,7.30991970462088,0.10107493923109274,0.23801328840016184,1.9807739134737699
384,382,1g,,,,,,,,,,,52.910460247999254,,7.267040580220525,7.879200080610115,0.9157881090747868,2.1565161550114897,2.022345200421363
389,387,1g,,,,,,,,,,,95.47362340699551,91.96797538152148,32.807462155223675,8.37521278574937,1.3470935856688908,3.1721629174048176,9.129990798208631
397,388,2g,33.21264220198,5.595036736213895,2.357763227515341,5.5521080034176755,9.242748380035607,17.886451166285962,6.41353683298682,0.2235616078047533,0.5264473452907892,4.977621669977219,177.82291988307955,114.11930525533988,,,,,
381,391,1g,,,,,,,,,,,58.76286349465452,63.250119008783976,14.387882549083132,9.034274249995097,1.4071026645500466,3.313473496535741,4.004004779684549
387,393,1g,,,,,,,,,,,64.54936114063504,60.10635312054864,68.16995335331065,8.315197852808721,1.1497346570373372,2.7074181650846625,18.97102079658848
395,394,2g,43.58232019007995,5.830350421596005,3.293195233990428,7.754882000905339,12.128526748499402,28.754273865725672,6.229020353261186,0.41901899359179323,0.9867143064898266,8.002028762881505,338.39824544519905,162.74121126953617,,,,,
402,395,2g,14.667441552815372,6.447446913340499,0.3959307774277131,0.9323457133023274,4.081803273196652,8.325940801805537,8.52479988673593,0.8392673731697926,1.9763235956876912,2.3170266126424823,105.53734811818408,75.43885822099652,,,,,
384,399,1g,,,,,,,,,,,36.67635192418248,43.39494417386432,22.261496009872136,8.250383949172297,1.2639969252898793,2.976485239611114,6.195153186883409
391,399,2g,35.423632919649755,7.053329075949833,2.010868422806023,4.735233179392079,9.858045132089785,23.281409625930614,7.87563350461032,0.22572667221488157,0.5315456822650475,6.478985014091626,180.7293356436676,68.41978768986934,,,,,
398,400,2g,18.741480120419645,6.529320714660191,0.3111065254568102,0.7325998682762059,5.2155677337875685,8.693105261477632,8.11602095962009,1.6689012377733672,3.9299620127334807,2.419204834242647,139.5530436569414,66.68951997124789,,,,,
384,408,1g,,,,,,,,,,,53.10249804219747,53.64210265592109,6.02549873373558,10.39259914968706,1.9662141038832657,4.630080296106392,1.6768364384096182
