x,y,model,amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,AIC(1G),AIC(2G),amp,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
375,386,2g,5.0921174303669465,7.135162984067888,2.679656700014741,6.3101091903287125,1.202538565642327,14.109394170103734,9.804408102928138,0.1523272993810081,0.3587033711283856,3.3320305078227705,70.20350445672045,52.80821214488607,,,,,
390,386,1g,,,,,,,,,,,62.459508756849296,56.039034915378686,13.281253246682182,8.354976026725042,1.6724378086804166,3.938290000636819,3.1364593310344726
365,387,1g,,,,,,,,,,,57.541156133216504,62.856912692417026,5.621069431427691,7.645461098794538,1.9729630023707825,4.645972737242766,1.327454219954602
396,390,2g,40.93858807065476,6.034434662520031,0.7120876953024524,1.676838346652121,9.667929235944515,11.1874123030938,6.224078812083011,3.9999999999999996,9.419279999999999,2.641984386295325,97.97061767189355,60.00318186550615,,,,,
380,392,1g,,,,,,,,,,,69.78776318790197,74.11753594829455,11.912942167806113,7.992545667599606,0.7990065866934307,1.8815166904774245,2.813323255591382
387,392,2g,23.854684447665257,5.809898936427354,0.305851009439031,0.720224074047219,5.633447855792778,43.87656542219578,8.320652524340005,0.9496062786661527,2.23615185712863,10.361752801195088,194.51144319805937,64.20568296881969,,,,,
360,393,1g,,,,,,,,,,,64.59609119557632,69.10584836043361,5.376419785008227,6.845596740820201,1.9309850661603953,4.547122253495822,1.2696785227297709
393,396,2g,42.35968510956199,6.166145198044433,0.5195866613948251,1.223533061985762,10.003531079023556,28.81575528338456,8.101310873273656,0.9079949595200829,2.138164690577082,6.805038866490653,164.79641376182448,79.15645133802529,,,,,
400,397,2g,21.37509957462739,6.271528227271052,0.41859829633278217,0.9857236401703622,5.047876828143384,8.771644637125606,7.981704646011149,0.8037298066840555,1.8926390233757475,2.071484231166506,73.63257007451348,41.322107978280805,,,,,
386,399,2g,12.990708122605245,5.430905626210703,3.999999999011702,9.419279997672737,3.067845100993695,18.365430114146324,8.27213293254602,0.6411288108733088,1.509742946420685,4.337122678115149,84.93200741753137,53.372050109950386,,,,,
391,404,1g,,,,,,,,,,,81.31222070210104,86.66694465689228,8.834666356845151,6.7878960692975525,1.930985066160395,4.5471222534958216,2.086367243876288
