x,y,model,amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,AIC(1G),AIC(2G),amp,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
395,376,2g,21.00616583589101,7.058738820632865,0.2512253724662477,0.5915905315909694,4.954358100162378,31.833320861666206,7.790900704057289,0.5627925371644027,1.3252751223654788,7.50797038822741,98.91032057986311,77.06545658547955,,,,,
389,382,2g,14.261442988540898,7.150831505094104,1.6761672260807494,3.9470721073194706,3.363597914168545,25.412484054444214,8.118278770879739,0.38158146344434024,0.8985556617480014,5.993599555672679,128.20964206589673,59.591527740712856,,,,,
396,383,2g,38.26978916721254,6.865371967921693,0.43768247586053655,1.0306634478059087,9.026027949761902,19.30449555574463,7.909430504523302,2.7495678107481956,6.474737272106066,4.553014799242408,241.06292063448223,54.69502399085227,,,,,
402,386,2g,64.28168246415316,6.941348780957586,0.47824086567349317,1.1261711553052551,15.160999712960445,12.400788540407888,8.7575503809524,0.5873602622103397,1.3831276926581522,2.9247577893819203,224.98514008476357,136.16027341209096,,,,,
370,387,2g,11.53566032330551,8.35775466768021,0.6507041487972924,1.5322911436708402,2.720715080038129,28.655646744655705,9.166704376248516,0.34941951637239477,0.8228200655440427,6.758507795944703,73.36668530099925,61.07076683916418,,,,,
385,388,1g,,,,,,,,,,,45.61860074215694,41.16980111943731,52.70174765567217,8.344032332510443,0.9676727137984299,2.278695059906819,12.429842382014971
393,389,2g,15.26750707506658,6.43284714571838,0.09076176858036235,0.21372762788840888,3.600880709862972,38.95251924255362,6.7648564051556805,2.5086577448583594,5.907437430747362,9.187051589459694,71.5633019503097,49.900546591569245,,,,,
376,390,1g,,,,,,,,,,,45.45560942001033,46.00258170978464,28.565147162695155,9.639952480202673,1.8548128023480468,4.367750283225228,6.737163237377929
399,392,1g,,,,,,,,,,,390.0397421221973,,64.1166584633723,6.636377619437263,1.0829396330106567,2.550127906606155,15.122078379035102
365,393,1g,,,,,,,,,,,49.366411279702426,48.75619258542691,31.929862443443042,9.43686602052163,0.7880854972555476,1.8557994906473085,7.530739967950585
388,394,2g,28.29746921372208,8.042790073434318,0.4468633789332184,1.0522828219795215,6.6740307064301,49.97667010692084,8.905117511627587,1.58595947511433,3.734649091188727,11.787125851416178,113.85287419188246,74.02388930814068,,,,,
381,395,2g,8.034103017841819,7.1811283844202,0.9919608961002517,2.335889357354795,1.8948638068911674,75.55200958171994,8.937418295869982,0.7417283160250763,1.7466366731421703,17.81913527575761,67.34679159724969,49.69905738700311,,,,,
394,397,2g,39.52179902538477,6.0760717179491275,3.9999999999141482,9.419279999797835,9.32131768663147,15.083733214187811,6.400997542875463,0.2793046040498877,0.6577120677087567,3.55753717333394,162.77946589889237,88.60817839474423,,,,,
375,398,1g,,,,,,,,,,,47.938381507742434,50.97046651966051,53.3989603669103,9.335504695389838,0.6997832047843088,1.6478634862901862,12.594281788541837
368,399,2g,12.913410659481942,5.862205052090636,0.10821687803039653,0.2548312687235384,3.0456610312109267,31.871959734898148,9.639952480206244,0.5469940611101951,1.2880725549835097,7.517083465600661,63.44816149226747,49.79658562251984,,,,,
400,400,2g,52.942392578679694,6.945899545272372,0.5356142686588437,1.2612751921232184,12.486599104440167,18.96713799944056,8.92992747218847,0.5858334060479312,1.3795322212297894,4.473448154154311,290.0860923385448,83.18212828732585,,,,,
388,401,2g,27.923252381643692,7.674846596734396,0.3001595658137128,0.7068217487694471,6.5857707065943885,34.774551542264476,8.401056117504561,1.451435524807412,3.41786940252699,8.201667189476625,181.19059442513,93.83639097068705,,,,,
381,402,2g,16.430600229150627,8.153569819872128,0.07420519374900308,0.17473987434402746,3.875199213972567,48.44829193359728,8.813674847729056,0.7409185323689009,1.7447297783929354,11.426653938441977,52.12365973804603,41.949419427943795,,,,,
394,404,2g,26.057799883712832,5.695091148533661,2.7066810724301935,6.373746722980068,6.145798949454355,18.027900656614,7.135336787854398,0.32343584261813596,0.7616331909140389,4.251926617394036,142.20431787077868,82.18042409791462,,,,,
388,408,1g,,,,,,,,,,,86.03973901389186,80.50083145501922,22.881772748760575,7.277710271789304,1.1988054980813445,2.822971162991912,5.3967248021151395
