x,y,model,amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,AIC(1G),AIC(2G),amp,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
387,375,1g,,,,,,,,,,,74.09480880044858,79.68024315261579,30.422804999185917,7.994740872065453,0.44854422481670964,1.0562409114828843,5.571538290704281
394,375,2g,18.912452154047006,7.529444170819449,0.6305335591859128,1.4847930358421713,3.4635679172319973,20.73459281483871,9.155213333635704,0.12159121181517148,0.2863254174066021,3.797269114834317,62.21898278427135,37.129906401129375,,,,,
389,381,2g,18.367689387284948,7.266296555056749,0.9197280329352248,2.1657939665165262,3.363801751211276,43.287138701872834,8.049633503806643,0.385282531238419,0.9072710102108539,7.927472525264037,114.85932299560827,69.33918315567209,,,,,
396,381,2g,49.25368125066489,7.002249546653907,0.5973476892142263,1.4066462855154445,9.020166649773621,29.144410386511424,8.823188319320927,0.6361832626736461,1.4980970706091554,5.337417060418757,161.0126375332545,62.341641040866534,,,,,
403,382,2g,29.294802726171064,7.020313678032039,0.5204799441621762,1.225636582111976,5.364959447751704,19.275160065676147,8.799125609358233,0.09981216670143653,0.23503968639187678,3.529993120892121,96.3548859602266,76.01019841120245,,,,,
382,383,1g,,,,,,,,,,,70.01229632813856,77.1260103962021,28.31205280535048,7.818534565013884,0.7315931126171509,1.7227700934531194,5.1849816707457705
387,387,1g,,,,,,,,,,,79.25966762045623,,41.340076537485736,8.129724631031278,1.2301399464293366,2.8967581486507306,7.570893590364557
394,387,2g,50.9908607485414,6.532086928036861,0.8006835997679405,1.8854657544055418,9.338308323117166,43.754559678790564,8.888390578079802,1.289689345521595,3.0369862646211625,8.01307455541363,136.93208404341553,78.10439606000476,,,,,
401,388,2g,47.03902260002975,6.720051138111358,0.32539065875217044,0.766236431042786,8.614580923106296,38.023636926200744,6.914004303961593,2.30403352698992,5.425584230026404,6.963531110686,265.31848087432076,69.92229481692941,,,,,
379,393,2g,25.375919975827387,5.8696296688861285,0.6029596102779422,1.4198613494747039,4.647267397301242,20.804900214452335,8.687981309716056,0.974358192970804,2.294438159971509,3.8101449942635033,121.18711219585106,64.66656220192505,,,,,
396,393,2g,41.15283531170434,6.2675290639574115,0.36272310553739606,0.854147623381571,7.536602812145146,55.170288008472845,7.864403566909043,2.883707000694357,6.790610919375085,10.103715688169286,329.4298642456525,84.40072211002959,,,,,
405,393,2g,28.774679972735335,6.979954275507734,0.31239512453128887,0.7356342871487697,5.269705777463535,20.23265567833259,7.686111307872786,1.4527814310486007,3.421038769461866,3.705345902111324,134.05459581420658,71.04719167024244,,,,,
387,394,2g,51.97391077351697,8.220679767992063,0.9654313361321165,2.2734170189506306,9.518341060268646,31.386101590561033,9.773955776601813,0.3472104332275171,0.8176180723728219,5.747953445200883,120.1850682517792,85.12634494598473,,,,,
392,398,2g,19.861786994725865,7.59078200383458,0.33889167923581914,0.7980289040980917,3.6374261599444444,49.32430055964786,9.555921395298368,3.9999999999996305,9.41927999999913,9.033099651318752,183.24280714068212,92.41125702818606,,,,,
400,398,2g,45.21826332565308,6.794368773642652,0.36494720924002283,0.8593849872625906,8.281132708333988,38.229065902554666,7.297821726226068,3.1043957531544337,7.310293207443124,7.001152737219342,259.1416658716102,61.01876975371488,,,,,
385,400,2g,35.96267154850713,8.014258338765897,0.4249003214728302,1.00056377501065,6.586092294050156,25.53342790847512,9.255961800715118,0.49083985162906807,1.1558394994131622,4.67611291229764,98.34525845632886,59.27904352699373,,,,,
396,403,2g,29.34889162092484,6.000348013705019,3.9999999999999996,9.419279999999999,5.374865120428191,40.10685421464434,6.910800470894163,0.36610658292956194,0.8621151036141911,7.345045073344316,267.9152140742522,84.03166505195769,,,,,
390,405,2g,37.68528521286538,6.982955761162606,1.0149984863757615,2.390138735687371,6.901566425752319,28.268308424246474,9.26649941371697,0.3927787651938125,0.9249232918536936,5.17697046026302,127.26166592062192,64.50262477658252,,,,,
401,407,2g,18.86541970314518,6.905835571456048,0.5100964665749632,1.201185361420055,3.4549545398293477,20.196317015853516,8.891865141533533,0.09069551168248911,0.21357160482015902,3.6986909520026616,75.73434814453596,55.40064919201521,,,,,
395,410,1g,,,,,,,,,,,34.849798857122764,35.44366799032788,17.182374717871554,6.476527331050169,0.8853394437460913,2.0848150289221707,3.1467268934739
