x,y,model,amp,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak,AIC(1G),AIC(2G),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2
400,383,2g,,,,,,93.74310084689964,52.538989714196894,17.034891327885948,6.735226563299073,0.3813723282701734,0.8980631860571698,3.452402681312693,15.014230999110696,9.299521698096353,0.23385973798780973,0.5506975882084542,3.0428824206424063
386,386,1g,23.442601576030313,8.309354739261769,1.3288552603355925,3.12921494414346,4.75103122058344,41.95752586611151,47.887417057984564,,,,,,,,,,
394,386,1g,16.172715782509606,7.242822498017969,1.8937401014283006,4.4594170656453915,3.277668536707562,43.39372089040292,50.02563052998544,,,,,,,,,,
375,390,1g,14.79763496680054,8.192899901982491,0.8643442543425288,2.035375137010874,2.9989856496964613,57.57767242773403,60.87282803972419,,,,,,,,,,
400,390,2g,,,,,,52.414693627950385,42.1183578148631,16.17112851490263,5.760460198781132,0.6895377587400974,1.6237373050363562,3.2773468506552823,20.79190643481281,6.801554735857844,0.3606159685517202,0.8491856950649618,4.213823977124169
368,393,1g,13.772625137389493,9.474728032317854,1.2598556226387918,2.96673321730228,2.7912504422732316,54.29847213963404,55.96327609060302,,,,,,,,,,
387,393,1g,47.32118425264186,8.458869069221135,0.9900845676525769,2.3314709415996413,9.590421227359094,51.88482567377278,50.11446309123687,,,,,,,,,,
394,393,2g,,,,,,114.88099236846742,78.68412368874081,19.301845257660755,6.180106802709597,0.6141893756555982,1.4463054255813157,3.911838416764383,24.225791554122598,8.448019659147088,0.7326533207984381,1.7252666928825782,4.909757632645534
380,394,1g,41.357042081431736,9.219685920891832,1.0688683638871725,2.5169926006487917,8.38168910061466,75.28711325537792,71.58501844996012,,,,,,,,,,
399,397,1g,10.250445431763998,6.183727223534053,1.9342675940871068,4.554852015908201,2.0774224274234485,48.74413913024671,43.509361925765006,,,,,,,,,,
375,398,2g,,,,,,83.3701430049003,71.12223043798765,7.6200667908962805,5.577398361841416,1.193349573732346,2.8101234432164035,1.544332659029468,23.388885111781036,9.474728032317719,1.0960720632719134,2.5810524160339674,4.740144690013018
390,399,2g,,,,,,90.98936927349222,73.04913920352699,15.168011532105607,7.614950139930871,0.2772864153142691,0.6529595965103473,3.0740485909587516,13.089496073011215,8.640341082424948,3.9999999999999996,9.419279999999999,2.6528030305376804
383,400,1g,18.39206856086156,8.670486145846894,1.2472075250786607,2.936949224205732,3.727457110950961,48.39213953918291,,,,,,,,,,,
