x,y,model,amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,AIC(1G),AIC(2G),amp,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
386,380,1g,,,,,,,,,,,37.14529226412674,32.51181583768178,11.247486139657617,7.693153156306164,0.5006102579371344,1.178847047595523,2.6510719722389986
380,383,2g,8.90029377150019,5.8358816659893415,0.3580875335789293,0.8432316858223343,2.0978304902392835,5.723515788887195,9.441698262523383,1.8465464438248431,4.348284496847618,1.349052766296462,60.44011496956894,49.635482240865485,,,,,
394,383,2g,12.573171510894827,6.483683722597033,0.24101717342923268,0.5675520603346257,2.9635406686264036,12.947264415388762,8.205554153271907,3.084676448790734,7.263857795141396,3.0517156796291323,63.966777642309744,43.54311760010502,,,,,
404,385,1g,,,,,,,,,,,32.747334649637345,,10.759706420413726,6.750291076687059,0.9426839508076603,2.2198510210408946,2.5361005798534064
388,389,2g,14.707779922138617,5.85535871734856,0.4019737760551943,0.9465758873302927,3.4666753656144627,16.677575949523213,8.239607290619107,0.9210873008604915,2.1689947978123025,3.9309632050823837,92.62886825047826,62.423886727616846,,,,,
397,389,2g,17.75186919371856,5.412213353656849,3.99999999962913,9.419279999126669,4.184177894506192,36.37312986208319,6.207403580990966,0.48990447554706734,1.153636857107745,8.573274411957927,239.72919984727045,122.1857709965282,,,,,
403,392,2g,15.765820928541565,6.694848435369748,0.13387603345611276,0.3152539611031235,3.7160593455301547,12.35037716316184,6.817736339460291,1.2406688512362276,2.921551824268094,2.9110272586506727,94.02262301763137,76.25967110709165,,,,,
383,394,2g,14.772068455895381,5.751362136949607,0.29161325003656646,0.6866967134511075,3.481828398733389,14.305921690596513,8.673499456368893,0.8252138457001443,1.943230068131614,3.371955969544397,111.23592876904718,62.826275035347024,,,,,
396,396,2g,35.874211453451665,6.2135411609327384,0.3504459722486026,0.8252371843704543,8.455677591376526,23.301004417758055,6.479372317696087,3.9999999999999996,9.419279999999999,5.4921285494303245,283.505628442079,91.20036846620438,,,,,
378,399,2g,10.775967470012374,5.886456682593617,0.6249530572907813,1.4716519583694778,2.539933366335193,8.46290448025063,7.644977677104534,0.05000000000000001,0.11774100000000003,1.994736298649154,150.3917418728232,83.16778632398034,,,,,
390,399,2g,18.287897336995403,6.21159045717986,3.9999999999999845,9.419279999999963,4.310521609833127,17.85525728779088,7.580005477591069,0.3444435129963147,0.8111024732739819,4.208546831267263,144.29501949533574,105.41218997185733,,,,,
384,402,2g,11.093846538503943,8.088891049781068,0.19301865512763122,0.45452418946764855,2.614858578829395,4.078019429087121,9.357750660222331,3.9999797671393935,9.419232355255188,0.9612034970712174,85.34199882044179,72.22808381162139,,,,,
396,403,1g,,,,,,,,,,,111.60892426947991,105.96504779206691,18.214819584417032,6.56930365269303,0.8837289742507941,2.081022663145255,4.293296926979628
