molecule,x,y,v0 (km/s),σ (km/s),FWHM (km/s),Amp[propanenitrile_2206609],Amp[propanenitrile_2329623],Amp[propanenitrile_2329676]
propanenitrile,400,383,6.710431256619379,0.21087249279666753,0.49656676348744866,8.499787018795615,13.785821883237269,5.207120418926023
propanenitrile,386,386,8.228595293425478,0.7147955701288846,1.6832149044509002,8.727293414508129,12.490146885006999,7.511485191394037
propanenitrile,394,386,6.85170259457567,0.9182513405467674,2.162316621746339,5.1720785163275815,1.2486291644289098,6.269324776371589
propanenitrile,375,390,8.283216732427354,0.7324457488360587,1.724777898274128,12.40189573474564,5.62623113953567,5.221003049082841
propanenitrile,400,390,6.380375256805426,0.45418623601393826,1.0695268322903422,21.01360052620225,15.569153941782345,8.945157831788054
propanenitrile,368,393,10.206169784126887,0.9995015926590463,2.3536463404253753,15.467204036081668,9.797648138257996,7.283376648754149
propanenitrile,387,393,8.24815688188326,0.5805499743804206,1.367090690670502,33.85354891569095,27.85489531326613,18.02799992633676
propanenitrile,394,393,6.3707285077594955,0.11553617013386641,0.2720668841546313,7.176848054295363,5.441218332488297,21.681519706487382
propanenitrile,380,394,9.077650834298241,0.5237580528404048,1.233355937989642,24.288544901115138,23.473388131055685,17.09171545903966
propanenitrile,399,397,6.549292273291273,0.2697169081467986,0.6351347696422444,8.481522224285708,9.599944723297625,14.886312040541368
propanenitrile,375,398,9.77610172933614,0.5031480453907357,1.184823080247012,14.433615156784851,11.399946015637324,11.818076381469625
propanenitrile,390,399,7.803795735304649,0.47961366112994475,1.1294038415020164,11.23126493995742,14.808713328887112,8.595222009466662
propanenitrile,383,400,8.662030316606614,0.6377102321448991,1.5016928088594514,11.633053540693174,12.177054628496043,16.576271249653246
