molecule,x,y,v0 (km/s),σ (km/s),FWHM (km/s),Amp[ethylene_glycol_2182390],Amp[ethylene_glycol_2329874]
ethylene_glycol,398,366,7.677904641475033,0.07233636079920634,0.17033910913718708,8.597359576433346,4.073714216461487e-09
ethylene_glycol,384,382,7.877445442922515,0.7904484463254052,1.8613638103759909,1.723482413553241e-08,6.241249416979165
ethylene_glycol,389,387,8.424620583067636,0.5819957135550776,1.370495146193768,11.285693880186045,16.9442090257687
ethylene_glycol,397,388,6.112845171209527,0.5149533264444386,1.212622392177893,24.94886864118152,22.85790483658596
ethylene_glycol,381,391,8.60305098589647,0.7257283255459274,1.7089595755620608,5.007728339493915,8.032908665850247
ethylene_glycol,387,393,8.305614115973688,0.7205382687088977,1.6967379259210866,22.07784101437197,47.44918738939831
ethylene_glycol,395,394,6.1909702516654495,0.4518638964491356,1.0640581406363536,26.00945005607598,35.4262275557838
ethylene_glycol,402,395,6.441117110596007,0.19434195777551297,0.4576403290089335,5.5039451655781075,7.846482614104839
ethylene_glycol,384,399,8.211713834229066,0.7379273095956971,1.7376859871821395,6.411872302149749,14.143068095729333
ethylene_glycol,391,399,7.816808244316978,0.30691453685762354,0.7227284896830691,10.251420415855414,28.407960818503355
ethylene_glycol,398,400,6.571005247381052,0.24800823202272623,0.5840147449317562,11.483562677001402,15.467928934098092
ethylene_glycol,384,408,7.97607431679268,0.07120448843718855,0.16767375346166033,12.92755889228431,2.676813322054206e-05
