x,y,model,AIC(best),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,amp3,v03 (km/s),σ3 (km/s),FWHM3 (km/s),SNR3
392,373,1g,72.58820393856985,0.008335252024692,7.733791649098735,0.7972617888543801,1.8774080056300715,3.9847332779263773,,,,,,,,,,
384,379,1g,44.65482313616703,0.014715285555458951,8.020077690859148,0.4357739942455079,1.026169317129207,7.034758861918554,,,,,,,,,,
394,379,2g,53.05161209673103,0.007718939639800012,7.236378886988612,0.22806203427756955,0.5370450395575064,3.69010025874445,0.011124891787809212,7.711448717028053,1.1401062774943447,2.684745064369233,5.318342671450451,,,,,
399,383,2g,80.6512677045201,0.022787016952725087,6.876992102659222,0.611638637948098,1.4402988974129403,10.893514015798624,0.011619539591657483,9.033072446525818,0.46752130585967655,1.1009285214644835,5.5548129736091,,,,,
388,384,2g,63.45714918834647,0.006426662688838234,6.236745459187668,0.373808920691753,0.8802527226233537,3.072317022491926,0.017059594717202895,8.026495321290968,0.7088667114611767,1.6692535094830083,8.155474432710664,,,,,
406,385,1g,54.50180556883516,0.009147585921327304,7.511355336091076,0.9623899930513328,2.2662552034371397,4.373075934047793,,,,,,,,,,
382,386,1g,38.765089808704346,0.013040329345058138,8.049568674777815,0.6391554083216765,1.5050959386240503,6.234032773387332,,,,,,,,,,
394,387,3g,61.55044049291744,0.016410537530879656,6.26545645586805,2.710150439822188,6.381916458702086,7.845187501738707,0.012532709831336707,6.773562663315565,0.2826989279223588,0.665705089450129,5.991361242537569,0.008311113982289153,9.195589041091026,0.21291000484715783,0.5013647376141842,3.973193895488787
401,389,3g,79.58228308710271,0.016159706773220064,6.70254606687473,0.3538700713253721,0.8333003213584128,7.72527587048715,0.015343656713293578,7.368278062207792,1.2075352071371663,2.8435280564707424,7.335156673057958,0.006857228067962485,8.979736394924595,0.1915297542300534,0.4510180958560143,3.2781522137299244
388,391,2g,61.264732305234446,0.01207089916313689,5.525709625180276,0.8401256772100634,1.9783447472078015,5.77058899327313,0.020287128377280597,8.319312424057003,0.9513320693408945,2.2402157835253256,9.698422473494634,,,,,
382,393,2g,99.54476341071816,0.005438156235974796,6.134533101332457,0.09855869707444638,0.23208799104484784,2.599753679895761,0.013065316241694576,8.65934511174805,1.2886694294315724,3.0345845458140555,6.245977957317509,,,,,
396,393,3g,55.43002233034014,0.030902014834995065,6.000233171299416,1.225325843004889,2.885421801624773,14.772953055673142,0.0068374841604625005,6.671840693402155,0.2484203104386692,0.584985115427187,3.268713482301237,0.014481938679446011,9.485703407621074,1.0367604288201784,2.4413841929943327,6.923205538828329
407,393,2g,64.27359034396824,0.01032445370333897,7.022389658096551,0.2058937592787956,0.4848427422248935,4.935686902595511,0.006921163873079519,8.159599272331011,0.6427865943497647,1.513646728106713,3.3087172319856593,,,,,
390,397,2g,81.84689077700232,0.005531965680922537,7.771799908554524,0.47304189210062003,1.1139285083563821,2.6446000283876505,0.016418302037561616,8.218329208473435,3.999999997894212,9.419279995041249,7.848899385683024,,,,,
402,397,2g,59.10808096931794,0.02107695012618067,6.9074786773860115,0.282400935454936,0.6650033708279924,10.076003019007704,0.012574575206364642,8.0883561931524,1.9387998766295826,4.565524725484874,6.011375316805808,,,,,
378,398,1g,55.49027910805943,0.006703242007307728,9.485703407621074,1.7395674062807083,4.096368119657938,3.204537957267118,,,,,,,,,,
396,400,3g,86.51935844307194,0.013051944870513739,5.558201648361257,0.17933488934282865,0.4223013841222798,6.239585667371392,0.024190063715854915,6.879740986252295,0.9466435834933963,2.2291752432819196,11.564251638484592,0.01714326628304379,9.485703407621068,0.385145669373117,0.9069487251532035,8.195474287764206
385,401,2g,42.96937598328126,0.0032802020124618964,5.843520255627147,0.5737076541218719,1.3509782580792664,1.5681265639788469,0.013990759199898043,8.463062646380644,0.7705508113302995,1.8145084615368159,6.688393296584019,,,,,
391,404,3g,52.97698109554119,0.0151420134744779,5.525718114623503,1.9107135525632113,4.499386487846902,7.238759524945646,0.012215830676346875,7.582634503527927,0.3736605524143649,0.8799033420363949,5.83987465158283,0.008550696423522401,9.298748824354458,0.5121537560280008,1.206029907769857,4.08772817994244
398,406,3g,44.53236147867696,0.0077381233907384,5.880063501252684,1.7254233503536454,4.063061413879772,3.699271202890254,0.008672672596097416,6.905704536821049,0.34073870780261256,0.8023783239077481,4.1460398557662685,0.004251395476896668,8.986707681640702,0.11756579234257203,0.27684627912413545,2.032413295270675
