x,y,model,AIC(best),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,amp3,v03 (km/s),σ3 (km/s),FWHM3 (km/s),SNR3
406,376,2g,73.14338880968444,0.00252752244510829,6.067720210900854,1.2702922269682484,2.991309541909371,1.8852523050279728,0.004260926961011361,9.769072271091497,0.34256662569982727,0.8066827415304673,3.1781804313347406,,,,,
391,382,2g,76.95784931651653,0.00417946557588016,6.50810441074141,0.058267981172434036,0.13721060742447114,3.117419244273239,0.00270321888675899,7.732321982769062,0.5785230123499557,1.3623175599419228,2.0163024257690383,,,,,
397,384,1g,81.2102291311854,0.004462912671208282,6.301750464441521,1.8271238664992284,4.302547823309713,3.328839439909892,,,,,,,,,,
385,386,2g,61.840250404086106,0.004453588353439991,7.438302316446352,0.8284569585817833,1.950867015207555,3.3218845297370843,0.004531017305773213,8.893984362790079,0.40186357484486607,0.9463163833161876,3.379637967750907,,,,,
370,387,2g,43.01475189399451,0.0036252233706886086,7.116404646928613,0.06496761403863333,0.15298703689045454,2.704015835372397,0.003629245089844415,8.873122083816991,0.889231440772595,2.093979981360122,2.707015593227499,,,,,
391,389,1g,101.15037283116776,0.00520249912035235,7.74449010846938,1.094329804011717,2.576949709082872,3.8804891634226615,,,,,,,,,,
377,391,2g,49.1500280444129,0.0030128934529521766,8.750828880185212,3.0215483149959543,7.115202403118774,2.2472854150018917,0.005978564493726712,8.924800325730478,0.61655880471878,1.4518850045278775,4.45934813135706,,,,,
397,391,1g,79.6960877468157,0.008623844716475957,5.914965093360351,1.0563685902759499,2.4875578837536123,6.432434719385067,,,,,,,,,,
368,393,3g,82.26429483996115,0.002113823537143805,7.251216534312612,0.05236883414031664,0.12331917801030044,1.5766786576061453,0.004318500478554206,8.671680742430201,0.1325117151004477,0.3120412369528363,3.2211239101815,0.0046631335909300305,9.761469407373687,0.9038912397104065,2.1285011690948594,3.478182109903105
386,393,2g,44.00149542193229,0.004904567247204734,6.395225259891317,0.3533201960471599,0.8320054640557731,3.6582649249475887,0.013554007488925943,8.269065710288395,0.8932243875348915,2.1033826522549135,10.109791076363418,,,,,
403,393,2g,65.69814926302844,0.0056102066321741684,6.834086476426451,0.26882721778284124,0.6330397089793902,4.18459389172167,0.003854772382285729,8.98760634768213,0.11616791387669864,0.2735545269551275,2.8752340194355748,,,,,
390,398,1g,109.80831480214638,0.005638227524463693,7.400565351474016,1.639615244135828,3.860998769195931,4.205494379422583,,,,,,,,,,
397,398,1g,71.68864756183942,0.004300122847381904,6.877242368944086,0.8443384500129745,1.9882650688595527,3.2074162291298083,,,,,,,,,,
376,399,2g,67.10803105430836,0.002039630237852237,8.104551423749035,3.9999999999999996,9.419279999999999,1.521338659032536,0.0074071070141275615,9.710932067259906,0.5707076147709602,1.3439137054149526,5.524882914095966,,,,,
383,399,1g,44.38788727295361,0.007159331244509772,8.656288193287843,0.8270349880239591,1.9475185304985796,5.34006958367191,,,,,,,,,,
