x,y,score
396,393,0.13379194799172317
390,397,0.1139856329727843
394,387,0.09126349564486329
388,391,0.08935055357432059
396,400,0.0867971928001676
402,397,0.06588041954176913
391,404,0.06544106356218542
401,389,0.06517533474447651
382,393,0.04572380598715301
399,383,0.044829424780306465
388,384,0.03269866197495728
394,379,0.031964359669282405
398,406,0.02966385760738671
385,401,0.028193803267693374
406,385,0.017562641282838964
382,386,0.017302792681161153
378,398,0.01636678071539578
384,379,0.015366390746536843
407,393,0.01388623490671773
392,373,0.01247096974326555
