x,y,model,AIC(best),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,amp3,v03 (km/s),σ3 (km/s),FWHM3 (km/s),SNR3
398,378,1g,58.96225630090211,0.01129915887536825,7.007304622834348,0.16525135921071915,0.3891372056965857,5.289823620445349,,,,,,,,,,
391,379,2g,62.16229738230405,0.0032423363706328813,6.130276008777574,0.09195668425516113,0.21654143921773852,1.5179348930292724,0.004859428693129684,7.619152669732693,0.7532808737641622,1.7738408671573245,2.2749941802149856,,,,,
400,384,2g,59.9667610347056,0.015276260365700583,6.681194789289961,0.4289865415617919,1.0101860878005389,7.151746763267138,0.009227395438710017,8.947125504503797,0.17699980381416713,0.41680267801767706,4.319905126149234,,,,,
385,386,1g,56.19755875788184,0.004269686967688099,8.10651086392065,0.8204015744476599,1.9318980355408386,1.9989002033435064,,,,,,,,,,
394,386,2g,65.24905938047641,0.009971503631269231,6.741163471731301,0.25288039539485635,0.5954878126837156,4.668267436705588,0.007189435922084044,7.602007875197155,2.140705504590218,5.040976136319138,3.365812303181638,,,,,
389,391,2g,49.3977296917746,0.005122576896611384,6.140388363435126,0.07668910218022655,0.1805890315960411,2.3981898621068285,0.007961313503396532,8.144770709577966,1.0204472608184083,2.4029696187204044,3.7271751538819697,,,,,
398,391,2g,57.705271056632455,0.010032221466841882,5.59205255297323,3.999999999999811,9.419279999999555,4.696693149126953,0.014972478531653012,6.4124710742316475,0.3160235106970979,0.7441784834597401,7.009528007080768,,,,,
382,392,3g,69.44164266914049,0.003871527144159962,6.510936604627094,0.16256361247483125,0.3828080459279822,1.812497369075646,0.00830673770159778,8.203044457877802,0.20390404109948573,0.48015731406189105,3.8888892339186403,0.004916561263655688,9.213186802410736,0.5594694393578334,1.3174498251886135,2.301741411969028
404,393,2g,50.88332772407914,0.010731607080944245,6.872641567943799,0.5204475493417056,1.2255602981408351,5.024118100141971,0.004691445757007094,9.472947103943724,0.8464449827289747,1.9932255742298444,2.1963511490713,,,,,
396,397,2g,57.08136220578051,0.014093551042924679,6.326491457405096,0.31311003762203665,0.7373177787931244,6.5980485826548225,0.008009486250881622,6.558608936325184,2.844389173705774,6.698024514025831,3.749727747426246,,,,,
389,398,2g,61.70213702663487,0.008843410286761211,6.358195279653875,0.08915098951782277,0.20993453313635943,4.140138317921848,0.01041232297206881,7.548847805164296,1.2044359837500105,2.8362299432542,4.874641786073675,,,,,
402,399,2g,60.09455569699014,0.010600249547328536,6.788178871754107,0.6533334118693858,1.538482584938267,4.962621647909709,0.004480001862806957,9.193302213718914,0.4131627956598079,0.9729240144756289,2.097361399632771,,,,,
393,403,2g,48.26937331493586,0.008911285287156012,6.291637388047627,1.7618488086550559,4.148836811597099,4.1719147345813985,0.008977352791187072,8.963288400326773,0.07065300519690221,0.16637510969776928,4.202844952239389,,,,,
399,405,2g,46.4278029496447,0.006991613314764834,6.958539258354547,0.41638297854527534,0.9805069655379853,3.2731995067427406,0.006788414130893905,9.304719705700448,0.09056052636347446,0.21325373869123695,3.178069607751863,,,,,
391,409,2g,32.04409088046999,0.004561811281750505,6.146466060240347,0.37250504952737773,0.8771823407280597,2.135661365274097,0.0073696775750046045,9.05701573935712,0.11087985667186595,0.2611021040880434,3.4501943853812054,,,,,
