x,y,model,AIC(best),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,amp3,v03 (km/s),σ3 (km/s),FWHM3 (km/s),SNR3
397,384,1g,53.542056498857356,0.004957263905265962,6.4899933547390996,0.8693134301018882,2.0470766514725285,3.6907281141148185,,,,,,,,,,
379,385,1g,111.68387604524271,0.002663740242177151,8.895434077744197,1.7446835373306195,4.10841568737689,1.9831788640622667,,,,,,,,,,
385,387,2g,58.402300421730224,0.00545352328064633,8.170854059417788,0.961390051542228,2.2639005211726695,4.0601977376028415,0.004427389113659845,9.046417619715063,0.08234694328382113,0.19391222898360766,3.2962315071732307,,,,,
373,388,1g,80.21784179196915,0.004602640811610158,8.464811313358554,0.8965182759978579,2.111139166685276,3.4267079919906913,,,,,,,,,,
365,391,1g,47.23878059342796,0.004985461679244571,9.079930984511392,0.5324426349981902,1.2538065657464383,3.7117216135869278,,,,,,,,,,
396,392,1g,90.25836651139953,0.007837312540181196,5.6482329886034846,0.8474120925651117,1.9955029438141765,5.834950546091511,,,,,,,,,,
380,393,1g,37.8556025264724,0.01251187273012075,9.025719877467349,0.8046432841015545,1.8947900982680226,9.315203170085352,,,,,,,,,,
387,393,2g,66.84582523775691,0.014871952617914231,8.072542507372322,0.8076532740167648,1.9018780827201582,11.072304135435113,0.003161756970330448,9.61431502877441,0.1818829781509122,0.4283016746093311,2.3539568526907004,,,,,
371,394,1g,49.1910015234706,0.0034778634100938984,10.342639107638417,2.4664306423678193,5.808000205260589,2.58930097529196,,,,,,,,,,
401,396,1g,59.475541346362974,0.005039130232009689,6.665832126984994,0.4406822450635502,1.0377273643205494,3.751678339780921,,,,,,,,,,
393,398,1g,130.13775245501986,0.004775191516009836,7.589094874893183,0.9332681614941021,2.1976785320495416,3.555173562516745,,,,,,,,,,
377,399,3g,87.83368723765712,0.0017437901799959058,6.847339737622325,0.0857482631419298,0.20192172501187916,1.2982676664826338,0.0035270173623480963,7.845353721921795,0.2155597467586422,0.5076044028621859,2.625896540299446,0.00895818937853311,9.266396168012621,0.5966088889203192,1.404906543807346,6.669453557999164
384,399,1g,45.16310708034855,0.0055125615132172465,8.399760056404318,0.8502386235991903,2.0021589156238453,4.104152239304005,,,,,,,,,,
371,401,2g,72.57733232942763,0.0014125280607673097,8.305839585649359,0.25780867003934965,0.6070930123820614,1.0516400025247996,0.004904222455929279,10.132617869309652,0.5096768484577304,1.200197236285233,3.651238272133168,,,,,
384,406,1g,58.86185811766875,0.002989007627498545,8.493184030139199,0.9392047704521846,2.2116581775562136,2.2253433940432217,,,,,,,,,,
