x,y,model,AIC(best),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,amp3,v03 (km/s),σ3 (km/s),FWHM3 (km/s),SNR3
395,376,3g,68.3831446357189,0.010461902150616504,7.075605723594903,0.2734457380237568,0.6439154928131031,6.824355156020109,0.011830147228264323,7.856405726220869,0.43241880979355424,1.0182684616780575,7.716868794163321,0.00414099160848513,9.008876789498247,0.14626682884505657,0.34443205390091614,2.701191143594877
389,382,2g,59.59235969894973,0.005156553347381287,7.150800711342438,1.6761443754457603,3.9470182981871855,3.36364753912562,0.00918841444365321,8.118281956693249,0.38158637219384833,0.898567220969518,5.993652261457952,,,,,
396,383,3g,48.12933083336541,0.0061075715789974646,6.786372696259617,0.13996464841938341,0.3295915533909325,3.9840018570081033,0.01659476597219391,6.927419614534565,0.7550665872494635,1.7780459009867817,10.82485527917263,0.007297630651530239,9.049741811817004,0.5401978789687646,1.2720687693532262,4.760283803702564
402,386,3g,61.79627705735761,0.009348902391928598,6.927746516209383,0.9726923079719304,2.2905153006584613,6.098339415048629,0.016349552982793048,6.982584892078216,0.2812914361821156,0.6623906997503695,10.664901524640308,0.00769701763633876,9.112620935335274,0.14745005139530096,0.3472183300266826,5.020806086341648
370,387,3g,65.07544994377463,0.00294690423870693,6.204589856465374,0.059329967478953534,0.13971139401878938,1.9222815168971978,0.004158723310451812,8.345098878703084,0.6378992862510646,1.5021379972497322,2.7127576283506354,0.010474396069900967,9.166558353186419,0.35026588869354314,0.8248131200133293,6.83250500690385
385,388,1g,45.619469767926674,0.019055389024740358,8.344026447731665,0.9676732048410047,2.278696216223695,12.429932957582933,,,,,,,,,,
393,389,2g,49.90148941289905,0.0055203276578286945,6.432847220866172,0.09076269390660933,0.2137298068651618,3.600939482348692,0.014084225598061518,6.764817995773673,2.5086532269457544,5.907426791876402,9.18721626286837,,,,,
376,390,1g,45.456252538661076,0.010328253821132137,9.639952480206244,1.8548272792268203,4.3677843736689015,6.737175630415735,,,,,,,,,,
399,392,2g,79.68003984682784,0.011075791537215487,5.695091148533642,3.387127208788791,7.976074893800021,7.224798511382204,0.018849020146905978,6.653913886871675,0.40300808106157304,0.9490114894454135,12.295317426371131,,,,,
365,393,2g,56.180496050382295,0.0012062514117800991,6.455580504691581,0.050000000000000364,0.11774100000000086,0.7868442968521706,0.011544577984620418,9.436123009581552,0.7873622404119404,1.8540963509668456,7.530590437493046,,,,,
388,394,3g,67.89211771970955,0.008296164935653291,7.798020443172168,0.3080897846492202,0.7254959866876768,5.411633098717376,0.010386712882333119,8.44768999015886,0.5884875103629054,1.3857821591527768,6.775308791095269,0.013927652226624072,9.639359655351088,2.379507700962482,5.6033123243804726,9.085082608846227
381,395,2g,49.69987844201712,0.002904884223318844,7.181090918639664,0.9919416134668123,2.335843950223919,1.8948716343976917,0.0273173385461799,8.937412818499231,0.7417295309181448,1.7466395339966658,17.81924715720879,,,,,
394,397,3g,74.29830201724195,0.018612165502640762,6.354968588852523,0.826012908890698,1.9451117181139936,12.140815865417094,0.007945420953220391,7.862531020132081,0.2499330245338574,0.5885472848328182,5.1828409086835645,0.01109348966751793,9.153677084327095,0.9840253648368115,2.3172026096250207,7.236343097160447
375,398,2g,53.20746575830356,0.0021679921169382712,6.2794577074637115,0.05000000000259321,0.11774100000610656,1.4141929420135884,0.01930767912767381,9.335420129114091,0.6996814817746846,1.6476239469126628,12.594503151413821,,,,,
368,399,2g,55.497173716009875,0.0020462572229134274,5.695091148533642,0.774259927659279,1.8232427628506234,1.3347846145655011,0.011527693861966493,9.639952480206244,0.5465231766497541,1.2869637068383741,7.519576833290928,,,,,
400,400,3g,49.197355135563335,0.006118705050343119,6.1608458382913565,0.8279885680367072,1.9497640397841989,3.9912642803693887,0.01696080677528094,7.03517050742804,0.3556880767721589,0.8375813969446153,11.063625667759519,0.006455088687512493,8.856229506196083,0.8010936371058989,1.8864313185297128,4.210689139794435
388,401,3g,68.56500575046309,0.008484438547383913,6.887517698149878,0.4931624984871502,1.161308914687511,5.534444990327419,0.018964016408739622,7.766404957922984,0.34416216286341667,0.8104399443540309,12.370330107723845,0.013394753962031675,8.991661517065603,0.5402275402756036,1.272138616391797,8.737470198861013
381,402,1g,52.12467657452485,0.0180145728590725,8.766691115379407,0.7441707815518244,1.7523882398138673,11.751002963363291,,,,,,,,,,
394,404,3g,53.91559963024746,0.010243436085113139,5.695091148533642,1.7562255984884414,4.135595163832551,6.681848564095478,0.007518541295599034,7.202918486512971,0.3515430613794634,0.827820631797588,4.9043850074001885,0.005575992994264761,9.20671543009663,0.32358628740437884,0.7619874613055794,3.6372502813076246
388,408,1g,86.04149381725144,0.008273430777694999,7.277702442082471,1.1988054088968612,2.822970952978507,5.39680348495815,,,,,,,,,,
