x,y,model,AIC(best),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,amp3,v03 (km/s),σ3 (km/s),FWHM3 (km/s),SNR3
394,383,1g,58.436655706829825,0.005275831821837451,6.981878795263382,1.5733642117132824,3.704989513026672,3.391313351158764,,,,,,,,,,
380,384,3g,49.42458896062726,0.00540655868460619,6.5392227104122975,0.5220325232927986,1.229292626500348,3.4753447930306773,0.006141162470187607,8.084098212995066,0.09873314446693074,0.23249878325361786,3.947549311670238,0.002460141184590051,9.57918748811342,0.7352323785775673,1.731339909722027,1.581382789819495
371,385,3g,52.61516787073827,0.005965476914199237,5.946753041963003,0.19204298145999915,0.4522266536016352,3.83461834803281,0.005582810812415532,7.4050258515127085,0.21230951521576852,0.49995069262039604,3.588639949964203,0.002002686416025343,8.667609801252516,0.8349272481925675,1.966103382588822,1.287330114037948
387,388,1g,77.19084902100848,0.007785905565893259,8.455083400296223,1.9110447511058803,4.5001664007991495,5.004792872127429,,,,,,,,,,
397,389,2g,82.50628002067344,0.005306964433981697,5.709988011710108,3.999999999999975,9.419279999999942,3.411325445324506,0.01586327273051052,6.379649857300416,0.36312229586550715,0.8550876447500136,10.196937738117038,,,,,
379,391,1g,54.26841709524762,0.005263261700781171,6.75228800535904,2.1180072794328364,4.987525901754032,3.3832332567199312,,,,,,,,,,
402,394,3g,50.93598718840813,0.010145115597933203,6.660452771676465,0.3974400831557736,0.9358998566168789,6.521296951489506,0.005252906190733805,8.00838317510606,0.18647860797417087,0.4391235556297371,3.376576717871152,0.00454196137159982,9.039418960305879,0.4090708390444166,0.9632881931985732,2.9195802216813758
385,395,2g,79.65165243120386,0.004578769151558172,6.031282925463908,0.22996810130716394,0.5415334843201358,2.943240323029299,0.012275192344700488,8.209185957124173,0.89657318873289,2.1112684762919844,7.890513779138279,,,,,
395,396,3g,61.27161605240019,0.01766039585505252,6.276229890997086,0.6151073984350937,1.4484672039829274,11.352131431120851,0.008919970037298828,7.848330674798073,0.2981068822857867,0.7019880485442163,5.733771375011748,0.0068043338986838574,9.579187488113321,0.9991993625172542,2.3529346428428806,4.373836993976055
374,397,2g,45.78870745126188,0.002572626270107213,5.709988011710568,1.9185160042372071,4.51775985709786,1.6536883873447263,0.0037487033419729573,7.754666092585922,0.4110471033262917,0.9679419398548182,2.4096726587351136,,,,,
382,401,1g,41.70755001422449,0.003960063123016823,8.182059158574344,1.5854739755123077,3.7335058270158927,2.5455350727690798,,,,,,,,,,
391,402,1g,66.34489611817911,0.007078526505095944,7.439892193955679,1.5046239973237479,3.543118681377908,4.550088451246821,,,,,,,,,,
398,402,2g,41.57142209154939,0.007742672147567753,6.818612710372642,0.5445569819375646,1.282333672206216,4.9770023598945246,0.005687975193463023,8.70410210546141,0.0945006911464342,0.2225321175254462,3.656239786645216,,,,,
