molecule,component,x,y,model,n_points,method,Trot_K,T_ratio_p16,T_ratio_p50,T_ratio_p84,slope,intercept,R2,flag
glycolaldehyde,1,402,394,2G,2,ratio,1908.652644154706,201.86881024138745,409.5412194369694,1337.6046300427881,,,,T_out
glycolaldehyde,2,402,394,2G,2,insufficient,,,,,,,,T_out
glycolaldehyde,1,385,395,2G,2,ratio,51.595395412490575,44.092738183642176,51.59483308733064,62.07729051239098,,,,ok
glycolaldehyde,2,385,395,2G,2,ratio,74.68696733706281,59.9263384642726,74.6851625793545,98.84317596210067,,,,ok
glycolaldehyde,1,395,396,2G,2,insufficient,,,,,,,,T_out
glycolaldehyde,2,395,396,2G,1,none,,,,,,,,n<2
glycolaldehyde,1,374,397,1G,2,ratio,56.99453206525483,47.976726006060765,56.993845895632944,70.06275423452759,,,,ok
glycolaldehyde,1,382,401,1G,2,ratio,36.45761688418772,32.54465964797113,36.45733611875,41.396748751327046,,,,ok
glycolaldehyde,1,391,402,2G,1,none,,,,,,,,n<2
glycolaldehyde,2,391,402,2G,2,ratio,145.3546971776906,97.85603231573572,143.77604036815399,262.51130965592955,,,,ok
glycolaldehyde,1,398,402,2G,2,ratio,160.1271162540142,104.05545455410787,157.12870110089247,304.09011934574823,,,,ok
glycolaldehyde,2,398,402,2G,2,ratio,112.26664205100124,81.87292873260806,112.06850667969547,176.20442391962598,,,,ok
methyl_formate,1,395,376,2G,1,none,,,,,,,,n<2
methyl_formate,2,395,376,2G,1,none,,,,,,,,n<2
methyl_formate,1,389,382,2G,1,none,,,,,,,,n<2
methyl_formate,2,389,382,2G,1,none,,,,,,,,n<2
methyl_formate,1,396,383,1G,1,none,,,,,,,,n<2
methyl_formate,1,402,386,1G,1,none,,,,,,,,n<2
methyl_formate,1,370,387,2G,1,none,,,,,,,,n<2
methyl_formate,2,370,387,2G,0,none,,,,,,,,n<2
methyl_formate,1,385,388,2G,1,none,,,,,,,,n<2
methyl_formate,2,385,388,2G,1,none,,,,,,,,n<2
methyl_formate,1,393,389,1G,1,none,,,,,,,,n<2
methyl_formate,1,376,390,2G,1,none,,,,,,,,n<2
methyl_formate,2,376,390,2G,1,none,,,,,,,,n<2
methyl_formate,1,399,392,2G,1,none,,,,,,,,n<2
methyl_formate,2,399,392,2G,1,none,,,,,,,,n<2
methyl_formate,1,365,393,1G,1,none,,,,,,,,n<2
methyl_formate,1,388,394,2G,1,none,,,,,,,,n<2
methyl_formate,2,388,394,2G,1,none,,,,,,,,n<2
methyl_formate,1,381,395,2G,1,none,,,,,,,,n<2
methyl_formate,2,381,395,2G,1,none,,,,,,,,n<2
methyl_formate,1,394,397,1G,1,none,,,,,,,,n<2
methyl_formate,1,375,398,2G,1,none,,,,,,,,n<2
methyl_formate,2,375,398,2G,1,none,,,,,,,,n<2
methyl_formate,1,368,399,1G,1,none,,,,,,,,n<2
methyl_formate,1,400,400,1G,1,none,,,,,,,,n<2
methyl_formate,1,388,401,2G,1,none,,,,,,,,n<2
methyl_formate,2,388,401,2G,1,none,,,,,,,,n<2
methyl_formate,1,381,402,2G,1,none,,,,,,,,n<2
methyl_formate,2,381,402,2G,1,none,,,,,,,,n<2
methyl_formate,1,394,404,2G,1,none,,,,,,,,n<2
methyl_formate,2,394,404,2G,1,none,,,,,,,,n<2
methyl_formate,1,388,408,2G,1,none,,,,,,,,n<2
methyl_formate,2,388,408,2G,1,none,,,,,,,,n<2
propanenitrile,1,400,383,1G,3,RD,,,,,0.0016827437995040845,31.82281976998785,0.04428245883182469,T_out
propanenitrile,1,386,386,2G,3,RD,,,,,0.0026335163318988593,32.261855068203445,0.2550669324765681,T_out
propanenitrile,2,386,386,2G,3,RD,,,,,0.0019170102675767145,32.363335932675206,0.23555545009738033,T_out
propanenitrile,1,394,386,1G,3,RD,137.66552211353584,,,,-0.007263982910516096,34.31086656899517,0.2849210053347774,low_R2
propanenitrile,1,375,390,2G,3,RD,145.94209123168474,,,,-0.006852032827270431,34.65110498816695,0.878464388518384,ok
propanenitrile,2,375,390,2G,2,ratio,25.852569300358443,24.037812070020163,25.85244428636591,27.946227645532296,,,,ok
propanenitrile,1,400,390,2G,3,RD,580.2453446411654,,,,-0.0017234089152725885,33.691441535255635,0.0825848256379682,low_R2
propanenitrile,2,400,390,2G,2,ratio,55.678507552566515,47.891572203239335,55.67792769167799,66.39056400843234,,,,ok
propanenitrile,1,368,393,2G,3,RD,1645.2380250802157,,,,-0.0006078147871346724,32.38617449172665,0.03168021078006744,T_out
propanenitrile,2,368,393,2G,3,RD,128.47894128257252,,,,-0.00778337671541542,34.514028843520926,0.7719134474084808,low_R2
propanenitrile,1,387,393,2G,2,insufficient,,,,,,,,T_out
propanenitrile,2,387,393,2G,2,ratio,70.93524872868012,58.7626487941715,70.93430755119637,89.28975125965765,,,,ok
propanenitrile,1,394,393,2G,1,none,,,,,,,,n<2
propanenitrile,2,394,393,2G,2,ratio,193.6956036712611,122.53616048788439,188.54059678262644,380.3278901841717,,,,ok
propanenitrile,1,380,394,1G,3,RD,1113.23490077135,,,,-0.0008982830122439651,34.210384946624835,0.08392896261536953,T_out
propanenitrile,1,399,397,1G,3,RD,,,,,0.002948150418624215,32.026035561327554,0.3796714955349745,T_out
propanenitrile,1,375,398,1G,3,RD,627.9449384122972,,,,-0.0015924963142921588,33.78193223516443,0.9777447766998465,ok
propanenitrile,1,390,399,2G,3,RD,630.8424322898676,,,,-0.0015851818914116847,33.25673637528373,0.38783333077984883,low_R2
propanenitrile,2,390,399,2G,3,RD,,,,,0.010948745216388497,29.420656509551257,0.45982130428576173,T_out
propanenitrile,1,383,400,1G,3,RD,,,,,0.00182485374054846,33.3481605948659,0.34221942559963814,T_out
