x,y,Amplitude,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
400,383,0.0032240745249328654,6.679947099818915,1.990125789357918,4.686388011295813,1.796623973867505
386,386,0.008525777998214924,8.309342137781965,1.328853762277997,3.129211416487473,4.751012121155603
394,386,0.005881852502248387,7.242798625590295,1.8937398449438132,4.459416461670591,3.2776777132693824
375,390,0.005381720818502128,8.19289427959976,0.8643422695892454,2.035370463274147,2.9989780225021656
400,390,0.008682578825143526,6.377776254368826,0.7413983681748805,1.7458597053455722,4.838389792671445
368,393,0.0050963288695666555,9.551624016924253,1.3030705563873068,3.068496607591958,2.839942611428063
387,393,0.017210092886287595,8.458862766874892,0.9900847801724804,2.3314714420457605,9.590369339441601
394,393,0.007087337989600642,7.840751749606285,1.9486648354185931,4.588754927740411,3.9494376586358784
380,394,0.015040936353118942,9.219677227303258,1.0688674404216747,2.516990426053768,8.3816011796413
399,397,0.0037280100155144915,6.183710954384766,1.9342574389841067,4.554828102468554,2.0774433459570765
375,398,0.0074626179479373705,9.551164050852035,1.6998640274762662,4.002873809181661,4.158563398393338
390,399,0.007032726500250168,7.770037163029338,1.47918227890601,3.4832080140134507,3.9190052631509404
383,400,0.006688942004916457,8.67047658098966,1.2472094000033478,2.9369536393158837,3.727430452648274
