x,y,Amplitude,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
395,376,0.013442979351625056,7.577532523199882,0.6297106543423758,1.4828552430585136,8.768927880397756
389,382,0.010609604635370173,7.860111972755361,0.9409760727139957,2.2158292755483715,6.920702282849839
396,383,0.015450499440131776,7.0298489852332064,1.1678588280605702,2.750097325493592,10.078444053420599
402,386,0.02242644092669519,6.9597119804665075,0.5278899890425399,1.243085903997154,14.628888281109946
370,387,0.010735705290688957,9.048334694738886,0.6219488887759803,1.464577682267454,7.002958419918714
385,388,0.019055386450994763,8.34402638900793,0.9676734958434077,2.2786969014819736,12.429931278714811
393,389,0.015145042466038863,6.928433172216093,1.972430665836302,4.644719180524641,9.879192822995888
376,390,0.010394472063706106,9.683172463255865,1.8799945032310799,4.427048656098612,6.780370146922051
399,392,0.02318302856914226,6.636374126105461,1.0829284037149751,2.5501014636360977,15.122414477816964
365,393,0.011544810035576702,9.436865865805022,0.7880894174200122,1.8558087219289932,7.5307418055824416
388,394,0.024534713902636934,8.40457510970569,1.0984484281148694,2.586648327493457,16.004126105602314
381,395,0.02700326514900287,8.9158836993243,0.8645135887734194,2.035773889115424,17.614375387569126
394,397,0.016783950696003396,6.841124715410116,1.972430665836302,4.644719180524641,10.948261494102047
375,398,0.019307347863923092,9.335502716107575,0.6997851671277832,1.6478681072558465,12.594287066283922
368,399,0.011817208438275762,9.683776936378042,0.568635479091833,1.3390341988750303,7.708428751721717
400,400,0.016895302789908105,6.997310866508468,0.7226368439457246,1.7016796928602713,11.020897065074909
388,401,0.017161635898438228,8.033542249112578,1.099345177177184,2.5887600101203767,11.194627587139609
381,402,0.018014572985671218,8.766691122898873,0.7441707702704706,1.7523882132483097,11.751003045944316
394,404,0.011425824556159647,6.572191437047994,1.7146329430434517,4.037651946937581,7.453126936100657
388,408,0.008273437306869837,7.277700974923783,1.19880333326201,2.8229660652320465,5.396807743974086
