x,y,Amplitude,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
387,375,0.011505391440216742,7.994739304108377,0.4485435307735601,1.0562392771361948,5.571591746247972
394,375,0.006127734079572436,7.732543855884734,0.9156974212213342,2.1563026014404225,2.9674116520371974
389,381,0.01935289359263412,7.896854238851095,0.5897908343595673,1.3888512525665961,9.371816923136711
396,381,0.014974264703095926,7.469204609153621,1.3729092099107207,3.2329540656819638,7.251425565085329
403,382,0.010957605394657363,7.026027255822414,0.5328986200490486,1.2548803284639007,5.3063213096872355
382,383,0.010707151591635348,7.818530912093942,0.7315921928837094,1.7227679276464165,5.185036749402203
387,387,0.01563408567749525,8.129714742762477,1.23014135782744,2.8967614722392128,7.570949947551304
394,387,0.02130776698523435,7.340983637644765,1.9403424407614145,4.569157186353794,10.31848236392297
401,388,0.022817971485691618,6.667393007629617,1.5781643540142907,3.7162929841199324,11.049812799190258
379,393,0.00690965254373852,7.919571303646965,1.9799412660718712,4.662405292171364,3.3460628681930014
396,393,0.027369345408063107,6.976132900851982,1.9403424407614176,4.569157186353801,13.2538575300226
405,393,0.012906688359292347,7.25688852305243,1.0362918431099721,2.4402807579922245,6.250182682413223
387,394,0.01935273970232304,8.61806437991944,1.317327075135714,3.102068143071082,9.371742400336553
392,398,0.021157393705080216,8.119129955057145,1.9403424407614176,4.569157186353801,10.245662718375366
400,398,0.022462830495760453,6.745851083413904,1.9403424389192914,4.569157182015926,10.877832504687776
385,400,0.012482844179117032,8.511990073014411,0.8643473762117384,2.0353824884509257,6.044932235417955
396,403,0.01808333601982077,6.536826980220562,1.9000150793611332,4.474193509181184,8.757021978451176
390,405,0.01240069317593271,7.209028434765431,1.9403424407611776,4.5691571863532365,6.005149855681804
401,407,0.007107616215864951,6.906111046428127,0.5142239315364651,1.2109047984606987,3.441928599264189
395,410,0.006498144633661897,6.476521971923523,0.8853396301264643,2.084815467814401,3.146786373585055
