molecule,x,y,v0_1 (km/s),σ1 (km/s),FWHM1 (km/s),v0_2 (km/s),σ2 (km/s),FWHM2 (km/s),model,AIC1,AIC2,A1[ethylene_glycol_2182390],A2[ethylene_glycol_2182390],A1[ethylene_glycol_2329874],A2[ethylene_glycol_2329874]
ethylene_glycol,398,366,8.19225426314976,0.07114933446581385,0.16754387578678778,,,,1G,103.85751894965783,114.14903423074531,5e-324,0.0,6.791598882348016,0.0
ethylene_glycol,384,382,7.43477562419589,0.46922603780568556,1.1049428583455845,8.468358857142432,0.1394460495092051,0.3283703463052664,2G,94.1307481189288,84.9186769012075,1.404357135036678e-23,2.275540962897681e-35,6.268546950413468,11.72265974579216
ethylene_glycol,389,387,8.424669688663295,0.5820285914170736,1.3705725676407534,,,,1G,229.12202677035674,230.12336263506432,11.289852294838427,0.0,16.940567089448358,0.0
ethylene_glycol,397,388,6.112836794761632,0.5150249093208565,1.2127909569669395,,,,1G,280.69263012185957,285.3716386689802,24.941882076854785,0.0,22.854382178486564,0.0
ethylene_glycol,381,391,8.126300934935,0.19495969120120246,0.4590949800344156,9.197506888758351,0.33334686153531784,0.7849718564805972,2G,151.4770074931283,118.42446281776083,11.994715922684797,3.503238429936449,12.348954628067249,9.402014380425625
ethylene_glycol,387,393,8.314044822119053,0.4924339569825239,1.159593330581587,8.304328025889868,0.7625247148758775,1.7956084490840138,2G,365.7419466067669,325.96254654268995,27.94830119771746,3.3120014607515414e-15,2.008732067781344e-13,46.18480122807388
ethylene_glycol,395,394,6.1909662740046105,0.45185982246048134,1.0640485471263907,,,,1G,564.6958200938618,561.5710712009173,26.009434315751502,0.0,35.42645108792336,0.0
ethylene_glycol,402,395,6.441110134074557,0.19438811753601148,0.4577490269361506,,,,1G,122.80522414732647,129.5081442641766,5.504436759338265,0.0,7.845059469887684,0.0
ethylene_glycol,384,399,7.906501318740329,0.5284850981812703,1.244487278899219,8.974979682366587,0.27346367869701393,0.6439577398693024,2G,100.22322079865044,90.48722239447255,6.528910874849192,5.125183448199298,13.969629253595894,10.719964380091147
ethylene_glycol,391,399,6.574771676410262,0.3317338906281907,0.781173600329076,7.83198068184232,0.283971914394006,0.6687027434532932,2G,256.67902870175834,141.3060519735155,8.761304695889999,10.650332263567266,12.794679853938504,29.23331896152034
ethylene_glycol,398,400,6.571004226758105,0.2479987746118009,0.583992474431361,,,,1G,114.69132046446423,114.04285560388823,11.483938329957494,0.0,15.468343534890396,0.0
ethylene_glycol,384,408,7.976073464846796,0.07119085737671521,0.16764165476783652,,,,1G,83.9656439776568,84.95739154601989,12.931759274589659,0.0,1.8616489710721748e-10,0.0
