molecule,x,y,v0_1 (km/s),σ1 (km/s),FWHM1 (km/s),v0_2 (km/s),σ2 (km/s),FWHM2 (km/s),model,AIC1,AIC2,A1[methyl_formate_2182809],A2[methyl_formate_2182809],A1[methyl_formate_2182979],A2[methyl_formate_2182979]
methyl_formate,395,376,7.028996151289912,0.2192546573561313,0.5163052522353652,7.703208472229793,0.5426896118177119,1.2779363517005844,2G,148.38844459124417,122.9357239217157,0.3225742802948479,26.938662443942167,17.65297486356756,33.32097945462412
methyl_formate,389,382,7.718218781235311,0.6826794801946688,1.6075872935520101,8.153137161574929,0.3513194988237679,0.8272941822201851,2G,138.93441303834942,122.4928507044291,17.565067169280347,18.576557060712744,8.500687011060652,20.322791391524895
methyl_formate,396,383,6.921224297280993,0.3713685469464797,0.8745060817205094,,,,1G,225.64588405615012,224.16984711192077,38.43194171858551,0.0,38.79266313472147,0.0
methyl_formate,402,386,6.964656192264033,0.3464270065713454,0.8157732436143356,,,,1G,171.14205364644667,170.73489397847231,60.57616131278179,0.0,56.327864599793195,0.0
methyl_formate,370,387,9.075463474965366,0.41790926921761123,0.9841011053390153,9.67119724664377,0.16173670168809826,0.38086081986916753,2G,226.34912460119605,218.6673029679268,16.58110605813334,11.932800057545277,23.995094768142774,4.784599222636056e-16
methyl_formate,385,388,7.860677227846627,0.35539545785665627,0.8368923320700113,8.679037968523968,0.4793033428759671,1.128673097871185,2G,321.77628174153745,303.3772949935724,22.726045037000986,24.430739214858903,21.687634341212476,33.23743770397724
methyl_formate,393,389,6.6803981931758845,0.577340079608132,1.3595319662628216,,,,1G,200.28514052497314,201.42153437921706,6.51032170222815,0.0,15.772237311525219,0.0
methyl_formate,376,390,8.337261419109474,0.22351724077692112,0.5263428689263094,9.359824157029717,0.3654310092364711,0.860524249170227,2G,185.17809158466167,167.05496784172294,11.705917182845592,8.116535730688245,6.60303661753851,14.640592261471111
methyl_formate,399,392,6.640625972767343,0.38253726959554857,0.9008064131889897,7.994316669978937,0.05768590517858536,0.13583992323263638,2G,469.8745835160387,458.9775844562107,38.23512760245123,1.6807744875570208e-32,60.359170613211816,16.826792751256075
methyl_formate,365,393,9.486619520450482,0.42045960349706357,0.9901066835069553,,,,1G,650.1365479191622,647.566337558071,6.426941631634349,0.0,17.315704140354228,0.0
methyl_formate,388,394,7.9306000191724335,0.3172131957295055,0.7469799775677542,8.730407341123824,0.5670588751696338,1.3353215804269571,2G,629.7177688034578,549.4695227519561,16.403482553307008,29.595609808686753,28.05643528382177,26.9045218478537
methyl_formate,381,395,8.54185301033224,0.37834777192433133,0.890940900282854,9.311618119501412,0.4355889373709373,1.0257335414998305,2G,582.375489734451,536.2417950594588,23.289131046337413,37.010661165039494,43.351881145169855,42.38127526597795
methyl_formate,394,397,6.396958197267126,0.24516399959453186,0.5773170895251956,,,,1G,306.8984307823117,304.50768294058963,25.69598291244161,0.0,14.057002331558461,0.0
methyl_formate,375,398,9.123868635041278,0.2361788826724769,0.5561587564948021,9.71768347630793,0.3783603061087944,0.8909704160311113,2G,1058.1800272969415,1012.2482611756276,14.809237435170367,27.331772092947553,30.89175343069147,24.75970178948899
methyl_formate,368,399,9.896325611905834,0.4208116644938482,0.9909357237834037,,,,1G,334.4301096508559,341.28843342801554,32.63721306063118,0.0,26.240669229422693,0.0
methyl_formate,400,400,6.985023115703998,0.3326339795550317,0.7832931477357798,,,,1G,146.4313167471734,151.8595865262276,41.64413349332989,0.0,41.72227704484546,0.0
methyl_formate,388,401,7.703981692505119,0.33223981262782143,0.7823649555722465,8.704929928528971,0.5031272675267138,1.1847741521172561,2G,378.564352826888,276.3126164568141,29.035087436033248,15.731098944911865,33.545242887024465,10.430598350006289
methyl_formate,381,402,8.139085738109305,0.10019297993450868,0.23593643300937975,8.81727465973932,0.5453929095328724,1.2843021312261989,2G,172.83451291307324,147.6489572741209,3.1669165201120957,39.18325628458815,20.46623295961742,45.305202166635794
methyl_formate,394,404,6.95210000207125,0.3011951069507721,0.7092602617498173,7.422926387843469,0.16590032207309066,0.3906653964241554,2G,231.93784711462655,201.21626243105314,7.8975157795070645,23.163445875245337,15.624569859565568,10.11496865970954
methyl_formate,388,408,6.565278476927675,0.1813710062469992,0.4270960729305587,7.518631913036276,0.34479843856590797,0.8119382591037715,2G,186.7108235265479,162.73414602865697,5.782398598138917,8.141543272930434,15.945647225928456,16.10353056158497
