molecule,x,y,v0_1 (km/s),σ1 (km/s),FWHM1 (km/s),v0_2 (km/s),σ2 (km/s),FWHM2 (km/s),model,AIC1,AIC2,A1[acetaldehyde_2313573],A2[acetaldehyde_2313573],A1[acetaldehyde_2313633],A2[acetaldehyde_2313633],A1[acetaldehyde_2313698],A2[acetaldehyde_2313698]
acetaldehyde,387,375,7.8691242383006506,0.291875798643105,0.6873149681607565,8.555021984077083,0.19956128491873812,0.4699309049523429,2G,180.81092061031308,164.01483332094037,5.363047221453601,4.221984918728481,35.20221230735196,11.230527967706353,33.37347929059529,17.951488194473807
acetaldehyde,394,375,7.194414232534744,0.2745241526856014,0.6464549652271079,8.069319871641536,0.6961364233604284,1.639275972457604,2G,168.45647416265456,152.19957152044208,8.472348365296344,1.5123285357072518,12.82919954303328,17.8553371746214,11.932436803959234,9.161482354699805
acetaldehyde,389,381,6.930430029255767,0.5291333362874077,1.2460137629563133,7.997363368825314,0.3806134306741012,0.896276118819987,2G,233.67141944965317,196.16932963518792,9.299690150065735e-28,10.887452885349093,9.179579471794515,43.149102044627725,11.13645772450732,50.47213342354779
acetaldehyde,396,381,7.0014126982913325,0.34749404048752125,0.8182859164208248,7.971002722923408,0.11281818885061944,0.26566652746921565,2G,317.5471277469095,298.72711838521525,25.684010628237942,14.59236835671486,34.120469383766974,12.403301855467314,24.755010047090362,2.631698751667332
acetaldehyde,403,382,6.993164237423345,0.36085468709327895,0.8497478342609952,8.496442996117239,0.0869220210216233,0.204685713542139,2G,255.08119285010258,240.13973409312598,5.699871668784397,1.3834670007895046e-13,25.38705393604456,19.7705675724361,27.783027600791474,1.2793349242663008
acetaldehyde,382,383,7.894941476383443,0.5447247423120557,1.2827287176912752,,,,1G,146.52509244681045,145.12230206425943,13.438870688493491,0.0,35.28568559480033,0.0,23.72753276959657,0.0
acetaldehyde,387,387,8.189016602356384,0.4669904454139564,1.099678440669693,,,,1G,162.10479080661258,162.95365468236608,13.308374999552658,0.0,28.57136899192962,0.0,27.689435207877835,0.0
acetaldehyde,394,387,6.759366463030155,0.28156594618221403,0.6630371213888013,,,,1G,254.57125277698339,264.32114238320094,20.601432379173172,0.0,34.564741766741506,0.0,16.376401396349515,0.0
acetaldehyde,401,388,6.635711791746467,0.2878231499446545,0.6777717099526714,6.952265302788213,0.3656680452722148,0.8610824263679169,2G,393.3708137880015,357.02965755139485,38.19800752277224,1.1009576892141602,16.93664496853503,33.47884523769687,37.59448651330142,19.739950802058285
acetaldehyde,379,393,8.207005016377082,0.09218103018453748,0.21706973349915257,9.268186449349782,0.15056814827038642,0.35456088691007137,2G,270.80615029330113,212.16707681209942,19.392962160455202,14.18309275041156,22.56034801449253,20.76586265726019,5e-324,5e-324
acetaldehyde,396,393,6.278614748025734,0.447066104931089,1.052760205213827,6.265522307736627,0.2822025718239327,0.6645362601824333,2G,915.8931998660946,901.5456572877645,5.088425840469161e-10,36.441018210565524,28.131972928305967,3.586902351278849e-32,9.928641352101964e-06,29.322392633769912
acetaldehyde,405,393,7.005779545967086,0.2640843738539866,0.6218711652388448,8.11021913790934,0.6034510179487472,1.421018526086069,2G,305.70842704472443,224.6784804295986,12.95492828376201,1.9992180093834633e-34,38.95151680991842,14.460334504202217,34.81910635401034,5.694238150016759
acetaldehyde,387,394,7.861276645021571,0.19612830254662764,0.4618468494028497,8.467826855135705,0.4178835133672657,0.9840404549475047,2G,533.6328590376879,521.3842059831853,16.095602360174507,9.441011277927208,5.486941007272111,26.989962515540928,1.014981365647791,10.582833751838496
acetaldehyde,392,398,7.12962960173348,0.09742752251998558,0.22942427858051248,7.793918024766998,0.22561767389228526,0.5312890108350312,2G,382.00224338119665,347.9373892953264,1.6956057076913987e-37,18.823360383064582,24.447840755333395,10.178471653084793,5.560365827703888,15.858036352197248
acetaldehyde,400,398,6.8150628877283115,0.3152815538413441,0.742431308616674,7.548996951769623,0.14397607163835974,0.3390377330154423,2G,262.84518658642037,250.87980003406693,31.877747393085706,13.23003748914158,54.44007455138838,9.230089748869796,43.75335652040938,7.195705148707137e-10
acetaldehyde,385,400,7.954505754520167,0.29299302993453114,0.6899458467504327,8.679690723733765,0.5264559108201647,1.2397089079175405,2G,229.86937635845527,202.61740982641237,7.178453737714264,1.5249788594031082,7.730718332943178,28.076437939141282,19.969684412854498,17.891981885738428
acetaldehyde,396,403,6.8414968943687455,0.2713320082853417,0.6389380397504884,7.335903225690077,0.12169996625736705,0.2865815145421731,2G,468.23636524525944,451.1519068692886,23.726751130994142,8.358975451323241,24.963014720944763,21.355512294096478,39.29751765461353,15.643639112646147
acetaldehyde,390,405,5.363033509116539,1.058290916831528,2.492084616773219,7.499193536437598,0.24478486152487827,0.5764242876160138,2G,283.9837731970802,266.9028192624045,5.107213612761961,13.386063651197652,7.558345986622681,18.15318643559879,0.08055951312507646,8.241591910852389
acetaldehyde,401,407,7.051856704027095,0.29398839578255076,0.6922897541566663,,,,1G,205.75312232752276,213.39355644765197,0.26549383472773663,0.0,20.353598244415757,0.0,14.751063933781541,0.0
acetaldehyde,395,410,6.82274041051124,0.35062210402347244,0.8256519429965534,9.210939935589835,0.06320891132544454,0.14884560856738333,2G,255.44267653503073,242.6694594938744,2.2454674275287374,21.547479795850972,10.452057546257898,6.938273862111947,11.381223418978598,8.717208956122643e-68
