molecule,x,y,v0 (km/s),σ (km/s),FWHM (km/s),Amp[methyl_formate_2182809],Amp[methyl_formate_2182979]
methyl_formate,395,376,7.599637867044302,0.5942417244712791,1.3993322976194575,25.70991463383515,37.15280173442601
methyl_formate,389,382,8.000901305347194,0.5307835843279158,1.249899800047063,32.802280074043324,24.155542039703974
methyl_formate,396,383,6.921229105525234,0.3713839887760727,0.8745424444496716,38.4308346344914,38.790386386447956
methyl_formate,402,386,6.964655133956286,0.34642243600009986,0.8157624807417552,60.57615718677304,56.33024269479839
methyl_formate,370,387,9.149818098022505,0.477558345705961,1.1245639436353112,18.433219221455367,22.394195913344564
methyl_formate,385,388,8.368848908796457,0.6349376200439983,1.4951638064320083,31.15860708005208,38.27907778909749
methyl_formate,393,389,6.680404880501332,0.5774187946598026,1.3597173260407964,6.5135730367800555,15.767757606726493
methyl_formate,376,390,9.198380891043128,0.7048405457000252,1.6597726138253335,8.167699238032316,11.024498929200346
methyl_formate,399,392,6.640714193560047,0.3833060745098103,0.9026168103771915,38.17976602259755,60.320066950393745
methyl_formate,365,393,9.486529610695507,0.4204407862092597,0.9900623721812889,6.423069721313916,17.315308822749262
methyl_formate,388,394,8.435815210451263,0.6152785098886799,1.4488701406560613,34.68630122842422,37.812487688548785
methyl_formate,381,395,8.978788598528006,0.5971930201362682,1.4062820676772871,42.10766093391123,59.19265564954435
methyl_formate,394,397,6.39697177129191,0.24518086868021682,0.5773568131855482,25.6929608142849,14.056765147308912
methyl_formate,375,398,9.437592386520295,0.4258356505077018,1.0027663065285464,29.75688934229385,37.49417217351671
methyl_formate,368,399,9.896327834136942,0.4208483430666026,0.9910220952200972,32.640788840618036,26.237944112594548
methyl_formate,400,400,6.985022758385593,0.3326310302446265,0.7832862026406514,41.646984366900625,41.7207066914132
methyl_formate,388,401,7.89410032354999,0.5306988563479411,1.2497002809052589,29.664362568529285,28.52194041183329
methyl_formate,381,402,8.770859074713295,0.5757707509189657,1.3558364796789988,38.38057129975527,46.830246935468
methyl_formate,394,404,7.224617137645794,0.3033025721291276,0.7142229629011123,20.19264134413625,17.8515053246036
methyl_formate,388,408,7.214039133621083,0.5958884140409516,1.4032099551519137,7.597402541976927,13.578712828181207
