molecule,x,y,v0_1 (km/s),σ1 (km/s),FWHM1 (km/s),v0_2 (km/s),σ2 (km/s),FWHM2 (km/s),model,AIC1,AIC2,A1[glycolaldehyde_2178307],A2[glycolaldehyde_2178307],A1[glycolaldehyde_2182605],A2[glycolaldehyde_2182605]
glycolaldehyde,394,383,6.589711908770855,0.26774147257448805,0.630482974447856,7.754213548998427,0.056627804191696704,0.13334828586669123,2G,110.71308833670967,102.09352640646603,8.234351395169698,15.989228075466357,9.595850010464385,2.533749371797881e-42
glycolaldehyde,380,384,6.2774437234590525,0.13589075556294783,0.3199982690147408,,,,1G,120.80250653598321,128.15355056749496,8.551725475824236,0.0,0.7001900245374185,0.0
glycolaldehyde,371,385,7.435880230756695,0.17114067606242186,0.4030054868053123,,,,1G,109.42998667293665,,12.448495992928622,0.0,2.9225140804697696,0.0
glycolaldehyde,387,388,8.284289787921125,0.6905105036121935,1.6260279441160654,,,,1G,151.81615142537322,155.27507784902542,9.918901167175024,0.0,1.8889051100655683,0.0
glycolaldehyde,397,389,6.277173077790358,0.37801356792458307,0.8901539100201667,,,,1G,615.7968989060081,613.1473791948597,27.406981734051676,0.0,34.74949540027474,0.0
glycolaldehyde,379,391,6.4805170792698155,0.5118465251201906,1.2053064342835274,,,,1G,113.60075733293115,118.0586282197706,4.299727508064605,0.0,5.711116605034688,0.0
glycolaldehyde,402,394,6.67082792758714,0.30732239885387497,0.7236889312690818,8.133616889497192,0.18522998629128282,0.4361832763184386,2G,162.53365451356518,132.42625244866247,18.147324785957185,2.031791943482743,29.924251603596908,13.088931958656348
glycolaldehyde,385,395,7.851200731961195,0.19774807161172292,0.46566111399271737,8.54299467547158,0.35612450022937037,0.838609095630126,2G,194.6939788373707,185.0974628827421,22.115567276967564,20.536296432145953,7.210088918112604,11.206326535392279
glycolaldehyde,395,396,6.145537849294736,0.374881742054387,0.8827790238245117,7.669804471394205,0.14664183327951255,0.34531512184326174,2G,337.5369268617083,294.6813986522599,19.750219773455385,3.030378073838213e-38,35.488612476535216,17.195238339926487
glycolaldehyde,374,397,7.595392305278901,0.39877031971139604,0.9390323242627897,,,,1G,124.7321631521103,129.06781360350544,9.193783574773565,0.0,3.50975718925497,0.0
glycolaldehyde,382,401,8.127329337101827,0.4019673419241365,0.9465607361097952,,,,1G,96.7288978292286,99.2963489502479,8.083197213715065,0.0,1.3194895582647337,0.0
glycolaldehyde,391,402,6.6000965060048635,0.6699436217833084,1.5775966394477703,7.366876676613066,0.34053322199386193,0.801894441815586,2G,157.51495137760165,129.64606372026446,5.930936132797097e-12,12.49952341766388,13.560958259009459,11.935435153996076
glycolaldehyde,398,402,6.647975765821043,0.20487285361588564,0.48243869315175986,7.280825557608126,0.23307111175306408,0.5488405153783504,2G,164.44270971272917,151.35752599669013,19.671698348758998,10.351053924560041,19.837175353186264,8.30302128170797
