Eu_K,ln_Nu_over_gu,freq_GHz,tag,I_K_kms
143.022,33.578536013979644,220.6609161,propanenitrile_2206609,18.595471823220596
240.095,33.95871043376924,232.96757,propanenitrile_2329676,26.49722037471213
261.057,33.68275867031308,232.96232,propanenitrile_2329623,19.465062136230095
