Eu_K,ln_Nu_over_gu,freq_GHz,tag,I_K_kms
156.323,32.28594885697758,232.9874,ethylene_glycol_2329874,10.63920516113992
266.173,32.73874906579421,218.238988,ethylene_glycol_2182390,7.28531852324066
