x,y,Amplitude,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
398,366,0.0026666521522060414,7.309908104265061,0.10105809768181584,0.2379736295830936,1.981230621581163
384,382,0.002722007772350801,7.879194475083327,0.9157879294066025,2.1565157319252557,2.0223579390742543
389,387,0.012288609069502548,8.375201758669256,1.3470957575015663,3.1721680316798384,9.130012913381771
397,388,0.015209847246654317,5.633274333985155,1.9662141038785144,4.630080296095204,11.300392175152782
381,391,0.005389230337822138,9.03420036353893,1.4070321915067183,3.3133075452038505,4.004012358047674
387,393,0.025534276320944547,8.315188762818632,1.1497340270387493,2.7074166815513876,18.971087063274876
395,394,0.023032990823273876,6.047549681257216,1.9662141038832637,4.630080296106387,17.112718165328296
402,395,0.003363628560443841,6.993832819624127,1.9662141038832652,4.6300802961063905,2.499060066031962
384,399,0.008338442872998468,8.250373455804533,1.2639973297309552,2.976486191997048,6.195175603470801
391,399,0.015883968884171318,7.366398986467931,1.554356580566885,3.6602299630505124,11.801241312830609
398,400,0.005452458829679844,6.931858675116266,1.3558570106990904,3.192799205934432,4.050988947821953
384,408,0.0022657176356743153,10.406383183894977,1.966214103882619,4.630080296104869,1.6833500972149242
