x,y,Amplitude,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
394,383,0.005275826768926743,6.9818789741812965,1.5733686647868073,3.70499999921327,3.391310103139471
380,384,0.0035296756288298653,6.4689899700622515,1.934599738188544,4.5556341554811475,2.2688812853669527
371,385,0.005574466975522924,7.450883109794984,0.2998599590314031,0.7061162287263287,3.5832765179198627
387,388,0.007785904725513006,8.455083845704891,1.9110457882920717,4.500168843185937,5.0047923319296235
397,389,0.018368381772232552,6.3565884406386886,0.644391460990096,1.517425900168698,11.807225940279942
379,391,0.0053338635197265295,6.857601491577811,1.934599738201664,4.555634155512043,3.4286162217747385
402,394,0.005302250429236557,6.799184101550093,1.9345997373282502,4.55563415345531,3.408295275340041
385,395,0.0116636371925003,8.178844376277267,1.0263462241274326,2.416860615499761,7.497405123922634
395,396,0.014538099427891173,5.927784325326501,1.9345997382016615,4.5556341555120365,9.34511416497536
374,397,0.004108081996745555,7.35012025457324,1.017134713299634,2.3951691655722445,2.640681847657159
382,401,0.003960046280031645,8.182061264945865,1.58549497052557,3.733555266493023,2.5455242460705727
391,402,0.007078535470063547,7.4398910563390315,1.50461878609256,3.5431064098664824,4.550094213942704
398,402,0.007698086900936597,6.821120281785183,0.5515937018991354,1.298903881106122,4.948342890208797
