x,y,Amplitude,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
392,373,0.008335116923803497,7.733785066038388,0.7972878366905511,1.8774693435956438,3.9846686918761054
384,379,0.014715261121660992,8.020077320264203,0.4357754409459425,1.0261727238483245,7.0347471811478295
394,379,0.014330867034982073,7.550553611848251,0.9605691338104795,2.2619674076795935,6.850984542119023
399,383,0.016873259849303948,7.044669482878725,1.199969690142198,2.8257126257406506,8.066395572616763
388,384,0.015138665791145775,7.90529029344793,0.9740647363909687,2.293747122548181,7.237159138402088
406,385,0.009147604530552772,7.511354500096673,0.962385959140171,2.2662457043024578,4.373084830335485
382,386,0.013040332657374762,8.04956856181648,0.6391550809459301,1.5050951677130953,6.23403435686654
394,387,0.02060137520347569,6.816798013598232,1.9799968912203998,4.662536279383622,9.848650658810794
401,389,0.022594473554906014,7.094525441039499,1.1446824480422992,2.6955211222989672,10.80146711878077
388,391,0.017041256694693425,8.201160987633232,1.9799968912179589,4.662536279377874,8.146707795741754
382,393,0.012750409453862846,8.757922821764746,1.493554598926626,3.5170522406443974,6.095434272111498
396,393,0.030902096127566718,5.889870424229203,1.9799968912202792,4.662536279383338,14.772991918231172
407,393,0.007738080247036242,7.692359193817947,0.9008405306025021,2.121317298273384,3.6992505777015716
390,397,0.02018674279038712,7.803393174442906,1.979996891220195,4.66253627938314,9.650432348237038
402,397,0.020400709214714367,7.302812210650494,1.212661609392154,2.8555998110288323,9.752720692830577
378,398,0.006733311310219627,9.507541747570277,1.749761743222642,4.120373948175542,3.2189128257896473
396,400,0.02108767493787401,6.431180740887824,1.9799968912203998,4.662536279383622,10.081130100219807
385,401,0.013495768010319343,8.453589309808372,0.8480360605732818,1.9969722761591757,6.451758836155992
391,404,0.016250482426356763,6.913818664452719,1.9799968912202996,4.662536279383386,7.768671890764374
398,406,0.012321063378122526,6.724245503950275,0.9519023858505277,2.2415587762485396,5.890181978517799
