x,y,Amplitude,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
391,378,0.014049711931904988,7.9274800796872,0.6735500011605587,1.5860890137329071,9.159091794416607
399,379,0.022899220949354114,7.119594481301764,0.4313434433882263,1.0157361673594631,14.928140001182516
385,381,0.012833347257049297,8.069818319754878,0.6505874947317516,1.5320164443442235,8.366136339779153
396,386,0.018873619744688392,5.981421118127387,1.9534085888523904,4.599925613201386,12.303826339809948
388,387,0.016582260908554896,8.192199792666361,1.0774112541128562,2.537109569410036,10.810075719454794
403,387,0.024100235499853045,7.045549466121277,0.4523990069994817,1.0653182296625197,15.711088617336683
381,388,0.01402304424759465,8.638135784558553,0.9773255674059979,2.301425792638992,9.141706970462442
368,389,0.01211256942968363,9.171478018998231,0.7015587133270202,1.6520444893167339,7.896256934691081
397,393,0.02040902507869955,5.981539862933628,1.8924363774471662,4.456347030340136,13.304766320928715
388,394,0.022213329838888428,8.550836496146237,1.1609437731687604,2.7338136159332604,14.481003456876318
405,394,0.017037512327710003,7.0667696511468385,0.30354133721844884,0.7147852117087478,11.106856860434009
379,395,0.024607939564353642,9.367771317824491,1.0338592181249582,2.434552364025014,16.042063953606718
366,397,0.002864016369262975,8.041842731027137,0.12893872471921777,0.3036274877433084,1.8670695138754074
373,398,0.018031331512302663,9.70072162549631,0.7514188496052436,1.7694561354274199,11.75473357013835
393,399,0.01562972052154943,7.1810442057914745,1.9725842812924876,4.645080917273176,10.189108906415713
400,399,0.019261986222124074,7.001275211949279,0.762403209793572,1.7953223264860994,12.557004784602826
385,400,0.020583205350361723,8.49085631121933,0.8855354690943743,2.0852766333328145,13.418315488674104
379,403,0.016656846289876303,8.843675385936631,0.6331544992929877,1.4909648780251135,10.858698378578005
390,405,0.010217768789166037,7.64436135709531,1.6926661107628345,3.985924010946538,6.661024989528563
397,405,0.00993527999707611,7.0480118904130284,0.6774947095077417,1.5953780918430205,6.476868845247056
