x,y,Amplitude,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
397,384,0.004957264726546521,6.489993272837782,0.869313118464215,2.047075917621903,3.6907287255656724
379,385,0.004994501435101018,8.572770389438402,0.3398589319715456,0.8003066101852351,3.718451794130409
385,387,0.0057398859149723445,8.28178607735754,0.9914847160603587,2.334768039073254,4.273397326234043
373,388,0.00460263489390948,8.464811587426393,0.8965206258439211,2.1111447001497825,3.4267035862086543
365,391,0.004985477885176791,9.079932959729211,0.5324391652473449,1.253798395107753,3.7117336790510227
396,392,0.007837311253909799,5.648239510712878,0.8474105797481981,1.995499381402652,5.834949588450744
380,393,0.012511871989541762,9.02571986447804,0.8046433845289324,1.8947903347564206,9.315202618717551
387,393,0.014508135006423275,8.115017313997583,0.8726184170127158,2.0548593007498837,10.801438611065226
371,394,0.003438772170292023,9.881584075984795,1.9664259491974259,4.630579153689083,2.5601971913277604
401,396,0.005039235537911789,6.665840896068976,0.4406638236378511,1.0376839851788846,3.7517567409838604
393,398,0.00477515366411302,7.589181202774505,0.9332747613665576,2.1976940735611974,3.555145381434918
377,399,0.00825126163344187,9.207925919745273,0.7433819668973227,1.7505307232891536,6.143139415093743
384,399,0.005512554442628448,8.399760744393458,0.8502408293012198,2.0021641096550984,4.104146975186266
371,401,0.0013894633396645342,8.32655075622738,0.282960955785619,0.6663221179030913,1.034468107655978
384,406,0.002989042787045506,8.493179100035102,0.9391818890699556,2.211604296019713,2.2253695706460674
