Eu_K,ln_Nu_over_gu,freq_GHz,tag,I_K_kms
128.511,33.30400017299467,231.3698292,acetaldehyde_2313698,5.056914141080628
128.542,34.09375929521081,231.3632836,acetaldehyde_2313633,11.138516221723265
299.051,33.66052087551343,231.35729,acetaldehyde_2313573,8.2134829415675
